,indicator,hl_loss,log_cosh_loss,mae_loss,mse_loss,huber_loss,dataset
0,mse,0.00218,0.00288,0.00299,0.00288,0.00273,0
1,HL_value,0.44357,0.64592,0.95423,0.64674,0.66292,0
2,p_val,0.99992,0.99965,0.99852,0.99965,0.9996,0
3,mse,0.00246,0.00285,0.00259,0.00284,0.00258,1
4,HL_value,0.92989,1.7242,1.38183,1.71559,1.49859,1
5,p_val,0.99865,0.98833,0.9945,0.98852,0.99273,1
