,bag_names,bag_ma
0,bag1,0.2084726867335563
1,bag10,0.41774167861124384
2,bag100,0.2525083612040134
3,bag101,0.2244983277591973
4,bag102,0.4431438127090301
5,bag103,0.2683946488294314
6,bag104,0.4091415830546265
7,bag105,0.48216276477146036
8,bag106,0.3946488294314381
9,bag107,0.6371237458193979
10,bag108,0.3350055741360089
11,bag109,0.32616658703615226
12,bag11,0.4509476031215162
13,bag110,0.4037267080745342
14,bag111,0.2814319336058466
15,bag112,0.3266443701226309
16,bag113,0.30406911928651065
17,bag114,0.21070234113712372
18,bag115,0.3322185061315496
19,bag116,0.28283166109253066
20,bag117,0.5172798216276476
21,bag118,0.28372352285395763
22,bag119,0.2653288740245262
23,bag12,0.3324662455097237
24,bag120,0.25808249721293197
25,bag121,0.24879227053140096
26,bag122,0.5488665923448531
27,bag123,0.2848383500557413
28,bag124,0.5172798216276476
29,bag125,0.5548654244306418
30,bag126,0.4954292084726867
31,bag127,0.48940914158305465
32,bag128,0.3054626532887402
33,bag129,0.2709030100334448
34,bag13,0.3311036789297659
35,bag130,0.21070234113712372
36,bag131,0.3166109253065775
37,bag132,0.25269416573764397
38,bag133,0.34771460423634337
39,bag134,0.39241917502787066
40,bag135,0.21661092530657747
41,bag136,0.43645484949832775
42,bag137,0.5085841694537346
43,bag138,0.3724916387959866
44,bag139,0.2809364548494983
45,bag14,0.23801560758082493
46,bag140,0.12486064659977704
47,bag141,0.3872909698996655
48,bag142,0.24659977703455965
49,bag143,0.33481976960237825
50,bag144,0.40384615384615385
51,bag145,0.30646599777034556
52,bag146,0.31259754738015605
53,bag147,0.24439489656880958
54,bag148,0.28678929765886285
55,bag149,0.40946010511227904
56,bag15,0.29264214046822745
57,bag150,0.3857302118171683
58,bag151,0.27759197324414714
59,bag152,0.2758082497212932
60,bag153,0.22541806020066887
61,bag154,0.2876254180602007
62,bag155,0.11204013377926421
63,bag156,0.19794376316115445
64,bag157,0.31382385730211815
65,bag158,0.19397993311036787
66,bag159,0.3380713489409141
67,bag16,0.30657748049052397
68,bag160,0.27591973244147155
69,bag161,0.23857302118171683
70,bag162,0.318561872909699
71,bag163,0.25839217143564963
72,bag164,0.3469589991329121
73,bag165,0.44091415830546266
74,bag166,0.27281414237935975
75,bag167,0.36046079524340396
76,bag168,0.24381270903010033
77,bag169,0.3277591973244147
78,bag17,0.3047658862876254
79,bag170,0.25663322185061316
80,bag171,0.27127461910070605
81,bag172,0.22277963582311408
82,bag173,0.26020066889632104
83,bag174,0.2157190635451505
84,bag175,0.2694165737643998
85,bag176,0.25641025641025644
86,bag177,0.26477146042363436
87,bag178,0.3442586399108138
88,bag179,0.20735785953177258
89,bag18,0.3515421776291341
90,bag180,0.2629399585921325
91,bag181,0.19754738015607579
92,bag182,0.2872538089929394
93,bag183,0.31804427456601364
94,bag184,0.328254676080763
95,bag185,0.2987736900780379
96,bag186,0.16945373467112598
97,bag187,0.28298030471943514
98,bag188,0.2645484949832776
99,bag189,0.20011148272017837
100,bag19,0.2709030100334448
101,bag190,0.34448160535117056
102,bag191,0.2224080267558528
103,bag192,0.25863991081382387
104,bag193,0.22630992196209587
105,bag194,0.23232998885172798
106,bag195,0.12597547380156077
107,bag196,0.23901895206243032
108,bag197,0.2673355629877369
109,bag198,0.39204756596060947
110,bag199,0.3684503901895206
111,bag2,0.5066093326962892
112,bag20,0.22519509476031216
113,bag200,0.44797473058342624
114,bag201,0.2894091415830546
115,bag202,0.43032329988851725
116,bag203,0.24786324786324784
117,bag204,0.261984392419175
118,bag205,0.2442586399108138
119,bag206,0.21348940914158304
120,bag207,0.32876254180602005
121,bag208,0.3340765514678558
122,bag209,0.27759197324414714
123,bag21,0.1605351170568562
124,bag210,0.23820141211445556
125,bag211,0.27313266443701223
126,bag212,0.2745261984392419
127,bag213,0.3384615384615384
128,bag214,0.3175664914795349
129,bag215,0.231140839836492
130,bag216,0.2571534745447789
131,bag217,0.33848940914158304
132,bag218,0.1956521739130435
133,bag219,0.2476309921962096
134,bag22,0.13210702341137123
135,bag220,0.27522296544035674
136,bag221,0.32748049052396877
137,bag222,0.3759754738015607
138,bag223,0.3357023411371237
139,bag224,0.22853957636566333
140,bag225,0.29598662207357856
141,bag226,0.2343614517527561
142,bag227,0.33253702818920206
143,bag228,0.4414715719063545
144,bag229,0.39000371609067264
145,bag23,0.3570791527313266
146,bag230,0.23968784838350055
147,bag231,0.2995699952221691
148,bag232,0.23522853957636566
149,bag233,0.23954849498327757
150,bag234,0.2582683017465626
151,bag235,0.3890746934225195
152,bag236,0.2792642140468227
153,bag237,0.48272017837235226
154,bag238,0.27982162764771457
155,bag239,0.3002601263470828
156,bag24,0.2994107341933429
157,bag240,0.40105908584169453
158,bag241,0.26235600148643623
159,bag242,0.27647714604236345
160,bag243,0.2889879846401585
161,bag244,0.2671869193608324
162,bag245,0.21348940914158304
163,bag246,0.2788660614747571
164,bag247,0.20981047937569675
165,bag248,0.24860646599777034
166,bag249,0.411371237458194
167,bag25,0.2764771460423634
168,bag250,0.3054626532887403
169,bag251,0.2448439241917503
170,bag252,0.39563978694413476
171,bag253,0.2809364548494983
172,bag254,0.1995540691192865
173,bag255,0.2910813823857302
174,bag256,0.2049052396878484
175,bag257,0.27605908584169453
176,bag258,0.1705685618729097
177,bag259,0.30936454849498324
178,bag26,0.31846897064288365
179,bag260,0.30992196209587514
180,bag261,0.26916883438622574
181,bag262,0.2723894463024898
182,bag263,0.20791527313266442
183,bag264,0.40895577852099585
184,bag265,0.28985507246376807
185,bag266,0.3136380527684875
186,bag267,0.261984392419175
187,bag268,0.23132664437012262
188,bag269,0.2899665551839465
189,bag27,0.3166109253065774
190,bag270,0.3110367892976589
191,bag271,0.294314381270903
192,bag272,0.2089186176142698
